x data,y data,set size,t step
35,407,76,0
185,111,3,0
910,292,27,0
919,308,27,0
927,309,12,0
932,308,10,0
937,333,28,0
942,357,91,0
941,315,12,0
954,315,2,0
967,761,3,0
978,309,23,0
974,316,5,0
979,358,17,0
985,317,1,0
986,316,1,0
990,316,14,0
1019,358,192,0
1007,336,2,0
1008,484,3,0
1014,334,1,0
1016,339,2,0
1019,342,4,0
1033,342,4,0
1043,337,53,0
1043,241,8,0
1043,356,9,0
1057,244,67,0
1072,245,3,0
1076,239,1,0
1080,242,18,0
1094,240,6,0
1109,242,2,0
1112,239,1,0
1139,82,1,0
1152,78,75,0
1164,80,1,0
1170,75,78,0
1196,94,1,0
1200,91,16,0
1208,83,64,0
1244,108,47,0
1279,715,12,0
1290,239,18,0
1597,694,7,0
38,406,74,1
185,109,6,1
910,292,27,1
919,308,27,1
927,309,12,1
932,308,10,1
937,333,28,1
941,357,79,1
940,315,9,1
952,315,2,1
958,359,4,1
972,309,1,1
974,316,5,1
980,358,20,1
980,309,15,1
985,317,1,1
986,316,1,1
993,317,4,1
1018,358,193,1
1005,336,2,1
1010,334,8,1
1016,339,2,1
1019,342,5,1
1031,335,5,1
1032,342,4,1
1040,337,9,1
1044,240,5,1
1043,242,2,1
1044,337,39,1
1043,356,9,1
1057,244,68,1
967,762,1,1
1072,245,4,1
1076,239,1,1
1080,242,21,1
1094,240,9,1
1008,484,3,1
1109,242,2,1
1112,239,1,1
1152,77,86,1
1164,79,2,1
1171,74,76,1
1195,94,1,1
1199,91,17,1
1208,82,71,1
1244,108,52,1
1279,716,8,1
1284,241,1,1
1290,239,21,1
1597,694,1,1
1597,696,3,1
37,407,68,2
185,111,5,2
910,292,27,2
919,308,27,2
927,309,12,2
941,357,88,2
932,309,14,2
936,333,33,2
940,315,9,2
964,358,1,2
974,309,35,2
976,358,36,2
972,316,6,2
984,317,5,2
989,316,12,2
1018,358,190,2
1005,228,1,2
1006,336,2,2
1009,334,1,2
1015,335,1,2
1015,339,2,2
1018,342,5,2
1017,334,1,2
1033,334,6,2
1036,342,5,2
1037,335,7,2
1043,242,12,2
1043,356,9,2
1045,338,20,2
1046,240,1,2
1057,244,62,2
1071,245,3,2
1070,247,1,2
1073,246,1,2
1079,242,20,2
1092,239,2,2
1094,240,3,2
1096,239,2,2
1109,242,2,2
1111,240,2,2
1144,232,1,2
967,761,3,2
1008,484,3,2
1139,83,1,2
1140,82,1,2
1152,78,81,2
1170,75,82,2
1189,74,1,2
1191,78,2,2
1192,97,1,2
1199,91,19,2
1205,84,29,2
1212,82,22,2
1244,109,46,2
1279,715,8,2
1290,239,25,2
1597,693,1,2
1597,695,4,2
36,407,73,3
185,111,5,3
910,292,27,3
919,308,28,3
927,309,12,3
941,357,86,3
932,309,14,3
936,333,33,3
940,315,10,3
965,358,2,3
977,358,35,3
975,309,29,3
974,316,5,3
984,317,5,3
990,316,13,3
1020,358,195,3
1005,227,1,3
1009,334,2,3
1015,335,1,3
1015,339,2,3
1018,342,5,3
1017,334,1,3
1021,332,2,3
1034,335,5,3
1036,342,5,3
1037,335,6,3
1042,242,12,3
1045,339,18,3
1046,239,2,3
1057,243,61,3
1071,244,4,3
1078,240,1,3
1080,241,9,3
1082,244,2,3
1092,239,1,3
1094,240,3,3
1096,239,2,3
1109,242,2,3
1111,239,3,3
966,761,3,3
1008,484,3,3
1140,82,1,3
1153,77,82,3
1171,74,82,3
1190,73,1,3
1191,77,1,3
1192,78,1,3
1192,97,1,3
1193,96,1,3
1196,94,6,3
1201,90,15,3
1208,82,55,3
1244,108,50,3
1279,715,9,3
1290,238,22,3
1598,696,2,3
36,406,80,4
185,111,5,4
910,292,28,4
919,308,27,4
927,309,13,4
942,357,93,4
933,308,15,4
936,333,39,4
940,315,10,4
964,358,1,4
976,358,40,4
976,309,25,4
973,315,8,4
990,316,10,4
1005,227,3,4
1007,336,1,4
1007,356,1,4
1009,334,2,4
1012,357,3,4
1015,235,1,4
1016,236,1,4
1018,335,3,4
1020,332,2,4
1025,357,5,4
1036,342,5,4
1036,335,7,4
1041,332,1,4
1042,242,9,4
1042,336,8,4
1043,356,9,4
1045,360,1,4
1046,339,6,4
1056,244,65,4
1072,245,4,4
1079,242,21,4
1094,239,10,4
1109,242,2,4
1111,240,1,4
1112,239,1,4
1143,232,1,4
967,761,3,4
1008,484,3,4
1139,83,1,4
1152,78,88,4
1171,74,83,4
1192,97,1,4
1199,91,22,4
1208,82,57,4
1244,109,45,4
1280,715,7,4
1290,239,23,4
1597,693,1,4
1598,696,3,4
35,407,78,5
185,110,8,5
910,292,28,5
919,308,27,5
927,309,12,5
941,357,83,5
933,308,15,5
936,334,34,5
940,315,9,5
959,359,2,5
964,358,1,5
976,358,41,5
977,309,20,5
973,316,7,5
987,316,13,5
992,317,1,5
1005,227,2,5
1006,336,1,5
1007,356,1,5
1008,334,2,5
1010,357,3,5
1015,235,1,5
1015,334,2,5
1016,236,1,5
1023,357,4,5
1035,342,6,5
1035,335,7,5
1039,335,8,5
1042,358,15,5
1042,242,9,5
1045,337,28,5
1045,360,1,5
1056,244,65,5
1072,245,4,5
1079,242,21,5
1095,239,7,5
1109,243,1,5
1110,242,1,5
1111,239,3,5
1144,232,1,5
967,761,3,5
1008,484,3,5
1139,83,1,5
1152,78,87,5
1171,74,83,5
1192,97,1,5
1196,93,3,5
1201,90,14,5
1208,82,57,5
1244,109,45,5
1280,715,7,5
1290,239,23,5
1597,693,1,5
1598,696,3,5
36,406,79,6
185,112,1,6
910,293,27,6
919,308,27,6
927,309,12,6
941,357,79,6
933,308,15,6
936,333,44,6
939,315,9,6
959,359,2,6
976,358,38,6
976,309,30,6
972,315,8,6
988,316,18,6
1001,357,1,6
1005,227,3,6
1007,336,1,6
1007,356,1,6
1010,334,8,6
1012,357,3,6
1015,335,1,6
1018,335,3,6
1023,357,4,6
1025,355,1,6
1032,341,4,6
1032,357,4,6
